name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7008,170.3133,36.79,91,96,11.32,RU,1627161436
Kavaratti,10.5669,72.642,82.13,80,73,19.66,IN,1627161436
Cabo San Lucas,22.8909,-109.9124,90.12,62,1,16.11,MX,1627161344
Talnakh,69.4865,88.3972,48.25,91,100,1.34,RU,1627161428
Torbay,47.6666,-52.7314,65.93,74,75,13.8,CA,1627161437
Puri,19.8,85.85,86.38,81,100,9.84,IN,1627161438
Vaini,-21.2,-175.2,78.96,94,20,4.61,TO,1627161438
Santa Rita,-7.1139,-34.9781,75.87,78,20,8.05,BR,1627161439
Hualmay,-11.0964,-77.6139,66.27,75,26,8.86,PE,1627161439
Te Anau,-45.4167,167.7167,39.56,89,100,2.35,NZ,1627161440
Bani Walid,31.7566,13.9942,77.58,46,0,9.98,LY,1627161440
Victor Harbor,-35.5667,138.6167,49.19,77,69,17.96,AU,1627161441
Itoman,26.1247,127.6694,80.44,96,75,16.11,JP,1627161175
Codrington,-38.2667,141.9667,43.95,73,92,17.94,AU,1627161441
Carutapera,-1.195,-46.02,77.38,87,93,5.57,BR,1627161442
Cayenne,4.9333,-52.3333,83.08,77,0,3.0,GF,1627161442
Gamba,-2.65,10.0,71.02,83,69,5.44,GA,1627161442
Port Alfred,-33.5906,26.891,54.23,74,0,18.54,ZA,1627161443
Katsuura,35.1333,140.3,77.2,84,5,8.68,JP,1627161443
Houma,29.5958,-90.7195,96.15,56,40,4.61,US,1627161444
Hermanus,-34.4187,19.2345,51.91,57,13,4.79,ZA,1627161444
Afşin,38.2477,36.914,64.33,59,0,4.41,TR,1627161444
Jacksonville,30.3322,-81.6556,86.14,67,40,5.01,US,1627161437
Chui,-33.6971,-53.4616,56.62,85,96,6.17,UY,1627161445
Harper,4.375,-7.7169,76.51,67,99,3.85,LR,1627161446
Vila Franca do Campo,37.7167,-25.4333,72.01,88,15,6.93,PT,1627161177
Forsytheganj,52.6333,29.7333,66.4,70,90,2.84,BY,1627161446
Lashio,22.9333,97.75,69.26,100,100,0.98,MM,1627161447
Tuktoyaktuk,69.4541,-133.0374,64.4,48,75,14.97,CA,1627161447
Bluff,-46.6,168.3333,43.81,70,100,10.76,NZ,1627161447
Castro,-24.7911,-50.0119,58.26,67,0,3.62,BR,1627161448
Ilulissat,69.2167,-51.1,44.62,81,90,9.22,GL,1627161448
Cidreira,-30.1811,-50.2056,61.52,69,2,6.46,BR,1627161449
Narsaq,60.9167,-46.05,50.22,83,80,2.66,GL,1627161355
Payakumbuh,-0.2202,100.6308,69.55,88,53,2.8,ID,1627161449
Mongo,12.1844,18.693,77.07,77,100,2.46,TD,1627161450
Saldanha,-33.0117,17.9442,53.51,63,25,12.75,ZA,1627161397
Port Hardy,50.6996,-127.4199,62.78,88,75,4.61,CA,1627161418
Ubari,26.5921,12.7805,84.58,18,0,6.33,LY,1627161450
Meulaboh,4.1363,96.1285,76.32,87,96,3.36,ID,1627161451
Hithadhoo,-0.6,73.0833,81.97,78,40,11.36,MV,1627161452
Alexandria,31.2156,29.9553,78.17,72,0,13.78,EG,1627161452
Manjacaze,-24.7117,33.8828,59.86,71,77,5.37,MZ,1627161453
Columbia,34.0007,-81.0348,88.68,52,20,3.0,US,1627161212
Alyangula,-13.8483,136.4192,67.87,100,90,1.14,AU,1627161453
South River,40.4465,-74.386,81.07,55,76,3.0,US,1627161454
Qaanaaq,77.484,-69.3632,41.38,67,100,1.45,GL,1627161453
Yarim,14.298,44.3779,59.43,71,100,3.06,YE,1627161454
Zdvinsk,54.7021,78.661,66.67,73,70,4.23,RU,1627161455
Bilibino,68.0546,166.4372,53.89,60,28,1.92,RU,1627161455
Beringovskiy,63.05,179.3167,53.01,85,100,8.72,RU,1627161456
Yellowknife,62.456,-114.3525,56.3,50,75,5.01,CA,1627161456
Sembakung,3.8167,117.25,75.13,98,100,1.41,ID,1627161456
Kuah,6.3265,99.8432,80.58,89,20,0.0,MY,1627161457
Novyy Nekouz,57.9029,38.07,53.1,61,59,7.31,RU,1627161457
Kavieng,-2.5744,150.7967,82.17,76,12,9.33,PG,1627161458
Barrow,71.2906,-156.7887,42.82,87,90,3.44,US,1627161458
Puerto Ayora,-0.7393,-90.3518,74.55,80,21,7.0,EC,1627161355
Hofn,64.2539,-15.2082,52.63,91,97,18.59,IS,1627161201
Sisimiut,66.9395,-53.6735,40.51,93,100,5.48,GL,1627161459
Ponta do Sol,32.6667,-17.1,72.75,82,0,4.88,PT,1627161459
Bengkulu,-3.8004,102.2655,74.93,87,31,4.61,ID,1627161460
Vardø,70.3705,31.1107,46.11,83,99,27.92,NO,1627161241
Nabire,-3.3667,135.4833,73.2,95,100,3.0,ID,1627161460
Ilo,-17.6394,-71.3375,63.46,72,75,11.5,PE,1627161460
Touros,-5.1989,-35.4608,77.9,70,11,17.98,BR,1627161461
Johi,26.6921,67.6133,95.2,46,20,8.86,PK,1627161462
Kropotkin,45.4375,40.5756,72.61,46,62,7.45,RU,1627161462
Luanda,-8.8368,13.2343,69.89,90,2,7.67,AO,1627161206
Atuona,-9.8,-139.0333,78.71,68,40,16.67,PF,1627161463
Geraldton,-28.7667,114.6,54.01,94,90,9.22,AU,1627161463
Oyama,36.3,139.8,79.84,80,0,2.64,JP,1627161463
Fukuechō,32.6881,128.8419,79.61,82,100,19.62,JP,1627161464
Dabat,12.9842,37.765,53.44,98,100,3.83,ET,1627161464
Tual,-5.6667,132.75,79.52,74,100,9.75,ID,1627161465
West Bay,19.3667,-81.4167,87.37,70,40,1.99,KY,1627161465
New Norfolk,-42.7826,147.0587,40.53,70,76,1.01,AU,1627161465
Vila Velha,-20.3297,-40.2925,71.55,64,20,5.75,BR,1627161466
Sørland,67.667,12.6934,52.48,94,100,14.54,NO,1627161466
Kruisfontein,-34.0033,24.7314,47.14,45,3,8.25,ZA,1627161467
Pappadátes,39.3133,20.7925,72.55,67,1,3.06,GR,1627161467
Kaitangata,-46.2817,169.8464,37.42,73,89,4.47,NZ,1627161468
Bethel,41.3712,-73.414,78.94,58,1,8.05,US,1627161468
Diébougou,10.9667,-3.25,78.98,70,86,5.03,BF,1627161468
Kapaa,22.0752,-159.319,79.74,80,75,3.0,US,1627161469
Chokurdakh,70.6333,147.9167,43.02,70,67,16.04,RU,1627161469
Kizhinga,51.8462,109.9097,53.67,85,11,1.79,RU,1627161470
Khatanga,71.9667,102.5,56.7,69,48,16.35,RU,1627161470
Oktyabr'skoye,43.0645,44.7417,66.34,93,92,2.24,RU,1627161470
Talaya,61.3833,152.75,57.97,82,99,6.26,RU,1627161471
Lagoa,39.05,-27.9833,70.54,91,63,14.65,PT,1627161471
Saskylakh,71.9167,114.0833,58.66,54,100,6.71,RU,1627161472
Tsabong,-26.0217,22.401,47.95,38,0,13.06,BW,1627161473
Aswān,24.0934,32.907,90.57,24,0,11.92,EG,1627161473
Wum,6.3833,10.0667,64.96,97,100,1.74,CM,1627161474
Shimoda,34.6667,138.95,77.11,83,7,9.04,JP,1627161475
Provideniya,64.3833,-173.3,47.12,98,100,12.88,RU,1627161475
Severobaykal'sk,55.65,109.3167,54.9,72,24,5.53,RU,1627161476
Uddevalla,58.3478,11.9424,67.21,71,0,2.98,SE,1627161476
Nanortalik,60.1432,-45.2371,43.41,97,100,11.97,GL,1627161477
Srednekolymsk,67.45,153.6833,51.46,61,100,15.08,RU,1627161477
Da Lat,11.9465,108.4419,61.38,96,100,6.67,VN,1627161477
Alice Springs,-23.7,133.8833,42.35,52,41,5.75,AU,1627161478
Kem',64.9555,34.5793,54.3,63,99,7.92,RU,1627161478
Erenhot,43.6475,111.9767,64.18,87,100,20.2,CN,1627161478
Abhā,18.2164,42.5053,64.65,94,72,0.0,SA,1627161200
Mingora,34.7758,72.3625,79.43,63,0,4.29,PK,1627161479
Salalah,17.0151,54.0924,78.89,94,75,8.05,OM,1627161480
Taoudenni,22.6783,-3.9836,103.6,8,3,9.4,ML,1627161480
Tasiilaq,65.6145,-37.6368,41.16,98,100,4.72,GL,1627161480
Tiksi,71.6872,128.8694,40.96,83,35,4.99,RU,1627161481
Granada,37.25,-3.25,75.34,23,0,6.62,ES,1627161481
Sabha,27.0377,14.4283,83.53,20,0,8.75,LY,1627161482
Southbridge,42.0751,-72.0334,78.91,53,15,2.68,US,1627161483
Kologriv,58.8275,44.3178,50.59,57,64,4.76,RU,1627161484
Vanimo,-2.6741,141.3028,74.7,92,100,5.19,PG,1627161484
Marzuq,14.4,46.4667,74.62,74,88,5.61,YE,1627161484
Ol'ga,43.7444,135.2892,72.72,94,31,1.52,RU,1627161485
Kosonsoy,41.2561,71.5508,75.76,21,0,7.47,UZ,1627161485
Araouane,18.9048,-3.5265,95.47,31,46,11.88,ML,1627161486
Dikson,73.5069,80.5464,37.98,94,100,20.67,RU,1627161486
Salinas,36.6777,-121.6555,67.05,58,1,14.97,US,1627161486
Pisco,-13.7,-76.2167,66.25,68,0,17.27,PE,1627161487
Ardeşen,41.1911,40.9875,69.76,73,88,4.9,TR,1627161487
Kismayo,-0.3582,42.5454,76.12,77,52,22.84,SO,1627161488
Port-Gentil,-0.7193,8.7815,75.43,73,98,12.12,GA,1627161194
Porto-Vecchio,41.591,9.2795,78.15,73,0,12.66,FR,1627161488
Manicoré,-5.8092,-61.3003,91.35,52,0,6.91,BR,1627161489
Avera,33.194,-82.5271,88.47,40,4,5.12,US,1627161489
Manta,-0.95,-80.7333,75.13,76,100,9.44,EC,1627161210
Skjervøy,70.0311,20.9714,47.25,91,100,3.85,NO,1627161490
Alto Araguaia,-17.3147,-53.2153,78.78,28,0,6.24,BR,1627161490
Ostrovnoy,68.0531,39.5131,47.03,88,98,20.78,RU,1627161491
Tubmanburg,6.8708,-10.8172,72.18,94,97,2.42,LR,1627161491
Luau,-10.7073,22.2247,67.93,34,17,4.56,AO,1627161222
Raglan,-37.8,174.8833,48.85,74,54,11.14,NZ,1627161492
Piet Retief,-27.0071,30.8132,34.23,93,3,1.92,ZA,1627161492
Guerrero Negro,27.9769,-114.0611,78.12,61,100,13.53,MX,1627161493
San Ramon,37.7799,-121.978,78.75,36,1,11.01,US,1627161413
Yulara,-25.2406,130.9889,35.44,75,42,4.61,AU,1627161494
Karachi,24.9056,67.0822,84.02,79,75,9.22,PK,1627161481
Haines Junction,60.7522,-137.5108,60.75,51,83,6.91,CA,1627161494
Mount Isa,-20.7333,139.5,55.17,38,39,8.05,AU,1627161495
Mahébourg,-20.4081,57.7,70.09,83,40,9.22,MU,1627161495
Urucará,-2.5364,-57.76,88.7,50,100,2.13,BR,1627161496
Tilichiki,60.4667,166.1,54.61,87,100,4.59,RU,1627161496
Morondava,-20.2833,44.2833,70.92,42,2,19.98,MG,1627161496
Domoni,-12.2569,44.5319,75.45,73,44,15.95,KM,1627161497
Lakes Entrance,-37.8811,147.981,40.17,66,70,17.58,AU,1627161391
Airai,-8.9266,125.4092,55.26,40,6,2.91,TL,1627161404
Peleduy,59.6289,112.7406,61.54,83,50,2.44,RU,1627161498
Cherskiy,68.75,161.3,48.81,68,89,3.71,RU,1627161403
Eyl,7.9803,49.8164,80.47,60,79,26.84,SO,1627161499
Quatre Cocos,-20.2078,57.7625,67.08,80,22,9.93,MU,1627161499
Novobirilyussy,56.9514,90.6661,60.15,78,48,5.57,RU,1627161500
Baoqing,46.3317,132.2111,75.51,77,83,6.08,CN,1627161500
Taltal,-25.4,-70.4833,60.73,69,13,8.79,CL,1627161500
Clyde River,70.4692,-68.5914,34.03,100,90,23.02,CA,1627161501
Asheboro,35.7079,-79.8136,84.02,61,40,8.05,US,1627161215
Mar del Plata,-38.0023,-57.5575,50.0,57,76,11.99,AR,1627161501
Saint-Augustin,51.226,-58.6502,58.01,67,5,7.85,CA,1627161502
Qaqortoq,60.7167,-46.0333,50.5,90,74,6.71,GL,1627161502
Vestmannaeyjar,63.4427,-20.2734,51.4,87,72,12.21,IS,1627161268
Tarija,-21.5355,-64.7296,77.14,25,72,5.59,BO,1627161503
Westport,41.1415,-73.3579,79.41,55,1,1.01,US,1627161503
Vilhena,-12.7406,-60.1458,88.02,35,20,8.05,BR,1627161504
Necochea,-38.5473,-58.7368,49.03,67,95,16.11,AR,1627161504
Basoko,1.2391,23.616,75.61,76,90,1.41,CD,1627161505
Jérémie,18.65,-74.1167,84.22,74,98,7.74,HT,1627161505
‘Āhuimanu,21.4447,-157.8378,83.07,67,75,14.97,US,1627161505
Itarema,-2.9248,-39.9167,78.85,73,29,15.68,BR,1627161506
Rudnyy,52.9594,63.1206,63.64,86,87,9.28,KZ,1627161506
Whitecourt,54.1502,-115.6855,76.24,31,40,20.71,CA,1627161507
Lithakia,37.7167,20.8333,77.34,73,0,2.33,GR,1627161507
Comodoro Rivadavia,-45.8667,-67.5,46.26,76,0,0.0,AR,1627161508
Sengés,-24.1128,-49.4636,63.61,57,0,3.18,BR,1627161508
Zaozyornoye,45.1582,33.2787,71.8,62,0,9.04,UA,1627161509
Maniitsoq,65.4167,-52.9,40.57,80,61,2.66,GL,1627161509
Baturaja,-4.1333,104.1667,71.82,97,9,2.33,ID,1627161509
Nizhnedevitsk,51.5419,38.3657,60.85,75,5,6.13,RU,1627161510
Opuwo,-18.0607,13.84,58.39,15,0,7.72,NA,1627161510
Lauenburg,53.372,10.5565,72.54,62,100,11.1,DE,1627161511
Corinth,37.9407,22.9573,76.23,52,12,2.75,GR,1627161413
Dalvik,65.9702,-18.5286,60.73,81,74,1.92,IS,1627161419
Aksay,47.26,39.87,77.25,37,1,5.99,RU,1627161512
Boa Vista,2.8197,-60.6733,84.18,65,75,14.97,BR,1627161512
Ketchikan,55.3422,-131.6461,61.27,72,75,14.97,US,1627161513
Hailar,49.2,119.7,56.64,93,0,7.9,CN,1627161513
Mentougou,39.9392,116.0917,74.64,87,39,0.92,CN,1627161514
Bryant,34.5959,-92.4891,91.36,65,80,1.99,US,1627161514
Mahuva,21.0914,71.7622,82.17,79,100,13.91,IN,1627161515
Port Hedland,-20.3167,118.5667,57.25,72,11,5.75,AU,1627161515
Fort Saint James,54.4333,-124.25,69.39,38,99,8.86,CA,1627161516
Alekseyevka,50.6309,38.6903,63.21,64,33,3.36,RU,1627161516
Mahibadhoo,3.7833,72.9667,82.24,75,97,4.99,MV,1627161516
Valparaíso,-33.0393,-71.6273,54.39,88,75,12.66,CL,1627161517
Mpika,-11.8343,31.4529,52.88,80,71,8.81,ZM,1627161517
Katherine,-14.4667,132.2667,61.12,63,93,3.44,AU,1627161518
Keti Bandar,24.1447,67.4497,82.71,83,80,18.66,PK,1627161518
Yangi Marg`ilon,40.4272,71.7189,81.32,36,0,4.61,UZ,1627161519
Kampene,-3.6,26.6667,73.18,53,36,2.42,CD,1627161519
Lompoc,34.6391,-120.4579,73.72,70,75,13.8,US,1627161345
Rabat,33.9911,-6.8401,71.15,83,56,4.61,MA,1627161319
Pierre,44.3683,-100.351,96.93,14,1,14.97,US,1627161266
Kamenka,51.3223,42.7678,61.9,65,75,6.93,RU,1627161521
Longyearbyen,78.2186,15.6401,44.44,81,75,18.41,SJ,1627161438
Qasigiannguit,68.8193,-51.1922,44.85,91,97,9.37,GL,1627161522
Boda,4.3189,17.4695,70.12,93,100,4.07,CF,1627161522
Olenino,56.2092,33.4889,54.79,63,69,1.57,RU,1627161523
Aitape,-3.1374,142.3475,75.58,92,100,5.3,PG,1627161523
Kahului,20.8947,-156.47,83.39,79,40,21.85,US,1627161502
Egvekinot,66.3167,-179.1667,46.36,94,100,2.24,RU,1627161494
Imbituba,-28.24,-48.6703,66.81,78,0,8.55,BR,1627161524
Lamar,33.6668,-95.5836,93.09,60,20,6.91,US,1627161524
Paris,48.8534,2.3488,65.61,86,0,2.3,FR,1627161284
Thompson,55.7435,-97.8558,68.16,68,75,9.22,CA,1627161525
Sangmélima,2.9333,11.9833,67.03,99,78,4.92,CM,1627161525
Soyo,-6.1349,12.3689,71.91,89,0,8.55,AO,1627161526
Coquimbo,-29.9533,-71.3436,58.73,72,75,6.91,CL,1627161526
Ojinaga,29.5667,-104.4167,97.75,24,1,6.91,MX,1627161526
Lumby,50.2498,-118.969,90.95,33,0,5.44,CA,1627161314
Gigmoto,13.7796,124.39,81.36,84,60,13.24,PH,1627161527
Sur,22.5667,59.5289,89.22,61,71,10.45,OM,1627161528
Skagen,57.7209,10.5839,64.27,73,62,5.68,DK,1627161528
Vaasa,63.096,21.6158,58.26,88,0,4.61,FI,1627161528
Bud,39.447,-86.1758,85.03,69,67,11.36,US,1627161529
Umeå,63.8284,20.2597,64.33,72,0,5.75,SE,1627161529
Kovernino,57.1253,43.8142,48.52,64,66,2.89,RU,1627161529
Thurso,58.5927,-3.5259,55.65,94,17,10.2,GB,1627161530
Isangel,-19.55,169.2667,80.71,74,75,0.0,VU,1627161530
Santa Isabel Rio Negro,-0.4139,-65.0192,80.96,92,41,1.34,BR,1627161531
São Félix do Xingu,-6.6447,-51.995,86.43,35,64,2.06,BR,1627161531
Santa Maria,-29.6842,-53.8069,70.9,68,0,4.61,BR,1627161532
Obo,5.3998,26.4869,68.85,95,93,2.75,CF,1627161532
General Roca,-39.0333,-67.5833,52.2,31,90,5.46,AR,1627161533
Faya,18.3851,42.4509,64.92,69,67,3.78,SA,1627161533
Broome,42.2506,-75.833,78.17,61,90,1.99,US,1627161533
Hokitika,-42.7167,170.9667,47.48,80,95,7.34,NZ,1627161534
Carora,10.1755,-70.0827,89.35,46,100,6.64,VE,1627161534
Assiut,27.181,31.1837,85.35,28,0,8.08,EG,1627161534
Los Llanos de Aridane,28.6585,-17.9182,70.12,87,20,16.11,ES,1627161535
Pundaguitan,6.3711,126.1689,83.64,73,100,9.73,PH,1627161535
Faanui,-16.4833,-151.75,76.96,75,49,11.32,PF,1627161536
Kaka,37.3482,59.6143,91.29,14,0,7.61,TM,1627161536
Honiara,-9.4333,159.95,79.84,81,58,5.75,SB,1627161536
Morón,-34.6534,-58.6198,59.2,87,100,7.0,AR,1627161524
Port Augusta,-32.5,137.7667,49.71,86,18,6.53,AU,1627161537
Iralaya,15.0,-83.2333,87.89,71,100,12.06,HN,1627161494
Manado,1.487,124.8455,77.77,83,40,4.61,ID,1627161538
Flinders,-34.5833,150.8552,49.93,58,41,11.99,AU,1627161500
Villa Bruzual,9.3328,-69.1208,82.56,80,100,5.14,VE,1627161538
Siniscola,40.5719,9.6922,80.15,69,48,9.91,IT,1627161539
Luleå,65.5842,22.1547,60.87,72,26,6.91,SE,1627161539
Nieves,15.3274,120.9485,76.93,95,100,6.06,PH,1627161540
Cockburn Town,21.4612,-71.1419,85.96,66,40,11.5,TC,1627161540
Chamba,32.5667,76.1333,78.21,91,98,0.89,IN,1627161540
Sharjah city,25.3573,55.4033,96.91,47,28,2.3,AE,1627161445
Ilmajoki,62.7333,22.5667,56.19,56,40,0.0,FI,1627161541
Macusani,-14.0833,-70.4333,44.69,47,2,11.72,PE,1627161542
Bonthe,7.5264,-12.505,76.3,86,100,7.36,SL,1627161504
George Town,5.4112,100.3354,81.28,90,20,3.44,MY,1627161408
Turukhansk,65.8167,87.9833,63.93,75,2,11.03,RU,1627161542
Takoradze,4.8845,-1.7554,74.62,81,3,6.15,GH,1627161543
Florida,28.7505,-82.5001,91.83,59,40,1.01,US,1627161543
Maceió,-9.6658,-35.7353,76.44,78,75,8.05,BR,1627161544
Knysna,-34.0363,23.0471,46.78,42,27,5.79,ZA,1627161544
Molėtai,55.2333,25.4167,58.1,75,2,3.22,LT,1627161544
Paramirim,-13.4425,-42.2389,69.24,57,68,5.01,BR,1627161545
Nouadhibou,20.931,-17.0347,71.58,88,2,13.8,MR,1627161545
Visnes,59.3556,5.2242,59.45,88,1,6.91,NO,1627161546
Esperance,-33.8667,121.9,52.29,80,1,18.14,AU,1627161546
Hervey Bay,-25.2986,152.8535,55.51,55,0,8.59,AU,1627161547
Yagodnoye,62.55,149.6667,60.46,81,100,4.16,RU,1627161547
Portland,45.5234,-122.6762,87.19,40,1,1.99,US,1627161420
Gorontalo,0.5412,123.0595,75.0,82,100,1.39,ID,1627161548
Vostok,46.4856,135.8833,72.82,80,79,3.24,RU,1627161548
Shintomi,32.0785,131.4723,75.25,91,100,7.87,JP,1627161549
Benguela,-12.5763,13.4055,68.29,83,2,3.31,AO,1627161550
Salekhard,66.53,66.6019,57.74,67,96,12.39,RU,1627161550
Norsup,-16.0667,167.3833,80.87,79,89,5.26,VU,1627161551
Mildura,-34.2,142.15,40.96,93,12,8.05,AU,1627161339
Souillac,-20.5167,57.5167,70.18,83,40,9.22,MU,1627161552
Mstera,56.3789,41.92,56.82,57,97,0.72,RU,1627161552
Guymon,36.6828,-101.4816,96.78,26,1,11.5,US,1627161552
Mareeba,-17.0,145.4333,62.13,87,58,2.51,AU,1627161553
Alberdi,-32.8899,-60.6906,68.09,66,75,6.91,AR,1627161553
Goba,7.0167,39.9833,50.0,93,100,3.67,ET,1627161554
Alugan,12.2188,125.4808,80.22,78,78,8.68,PH,1627161554
Flin Flon,54.7682,-101.865,75.04,50,75,10.36,CA,1627161554
Pachino,36.7186,15.0907,77.04,55,0,9.24,IT,1627161555
San Jose,37.3394,-121.895,82.69,45,75,8.05,US,1627161441
Huarmey,-10.0681,-78.1522,67.33,73,13,8.72,PE,1627161556
Atocha,-20.9333,-66.2333,51.06,25,10,23.49,BO,1627161557
Reconquista,-29.15,-59.65,79.0,44,88,9.95,AR,1627161557
Madison,34.7334,-86.5667,88.77,65,20,1.99,US,1627161557
Dingle,10.9995,122.6711,78.21,86,91,12.64,PH,1627161558
Kenai,60.5544,-151.2583,55.96,91,90,11.5,US,1627161558
Kieta,-6.2167,155.6333,79.92,80,100,2.73,PG,1627161559
Champerico,14.3,-91.9167,90.64,71,92,5.37,GT,1627161559
Crixás,-14.5489,-49.9692,81.54,27,0,4.47,BR,1627161559
Batagay,67.6333,134.6333,62.15,65,45,8.03,RU,1627161560
São João da Barra,-21.6403,-41.0511,71.69,68,0,12.06,BR,1627161560
Antalaha,-14.9003,50.2788,66.92,79,90,8.01,MG,1627161560
Bolshoy Kamen,43.1225,132.3583,75.09,92,40,3.47,RU,1627161561
Severo-Yeniseyskiy,60.3725,93.0408,58.77,69,2,3.74,RU,1627161562
Umluj,25.0213,37.2685,86.52,44,0,8.57,SA,1627161562
Manokwari,-0.8667,134.0833,78.28,73,100,4.5,ID,1627161563
Barcelos,41.5388,-8.6151,64.62,94,65,2.8,PT,1627161563
Coyhaique,-45.5752,-72.0662,39.15,81,0,3.44,CL,1627161563
